geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
16000US1750530,"Morrison, IL",3918,266,3843,278,3782,275,23,27,0,12,17,28,0,12,0,12,21,20,0,12,21,20,75,62,38,38,0,12,0,12,0,12,0,12,4,7,33,49,29,48,4,6
16000US1750543,"Morrisonville, IL",1038,191,1010,192,944,174,0,12,0,12,4,11,0,12,0,12,62,79,8,12,54,77,28,46,13,36,0,12,0,12,0,12,15,24,0,12,0,12,0,12,0,12
16000US1750621,"Morton, IL",16591,894,16154,912,15443,918,190,164,3,6,255,183,8,16,0,19,255,171,72,101,183,141,437,234,318,215,0,19,0,19,0,19,0,19,6,11,113,99,109,98,4,10
16000US1750647,"Morton Grove, IL",25004,33,23458,431,14078,871,209,130,0,22,8335,881,0,22,66,63,770,288,102,68,668,284,1546,433,534,242,18,27,163,198,51,83,0,22,417,315,363,186,288,173,75,85
16000US1750699,"Mossville, IL",297,239,280,237,280,237,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,28,17,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1750751,"Mound City, IL",746,227,739,226,432,196,293,99,0,12,7,8,0,12,0,12,7,11,0,12,7,11,7,12,7,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1750777,"Mounds, IL",901,142,895,143,55,36,821,142,3,5,0,12,0,12,0,12,16,21,3,5,13,21,6,11,6,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1750790,"Mound Station, IL",135,65,128,62,128,62,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,13,0,12,0,12,0,12,0,12,0,12,0,12,7,13,7,13,0,12
16000US1750829,"Mount Auburn, IL",606,141,606,141,555,121,0,12,0,12,2,4,0,12,0,12,49,75,3,4,46,75,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1750868,"Mount Carmel, IL",6937,19,6781,60,6461,70,10,13,1,5,130,52,0,17,0,17,179,61,42,42,137,48,156,58,125,68,0,17,0,17,0,17,0,17,16,33,15,26,15,26,0,17
16000US1750881,"Mount Carroll, IL",1595,185,1536,175,1495,177,13,17,0,12,24,24,0,12,3,4,1,2,0,12,1,2,59,49,44,37,0,12,0,12,0,12,0,12,5,7,10,24,10,24,0,12
16000US1750920,"Mount Clare, IL",332,112,332,112,309,113,6,7,2,3,0,12,0,12,0,12,15,17,0,12,15,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1750933,"Mount Erie, IL",139,67,130,65,127,64,0,12,0,12,0,12,0,12,0,12,3,5,0,12,3,5,9,16,9,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1750998,"Mount Morris, IL",3044,270,3044,270,2959,275,42,34,0,12,0,12,0,12,0,12,43,38,0,12,43,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1751024,"Mount Olive, IL",2139,155,2127,155,2051,150,15,23,0,12,58,79,0,12,0,12,3,7,0,12,3,7,12,18,3,5,0,12,0,12,0,12,0,12,0,12,9,18,9,18,0,12
16000US1751089,"Mount Prospect, IL",56510,73,47442,1163,36434,1263,1747,842,121,118,7758,1027,25,40,115,176,1242,377,180,132,1062,339,9068,1174,2850,803,57,72,215,171,16,18,0,28,3761,1214,2169,663,2033,647,136,125
16000US1751128,"Mount Pulaski, IL",1781,348,1777,349,1748,345,0,12,0,12,0,12,0,12,0,12,29,34,3,4,26,33,4,9,0,12,0,12,0,12,0,12,0,12,0,12,4,9,4,9,0,12
16000US1751154,"Mount Sterling, IL",2115,224,1934,202,1904,199,18,20,0,12,0,12,0,12,0,12,12,16,9,15,3,5,181,78,150,90,0,12,0,12,0,12,0,12,31,52,0,12,0,12,0,12
16000US1751180,"Mount Vernon, IL",14614,332,14050,338,10894,378,2403,238,0,19,195,77,8,14,29,28,521,196,0,19,521,196,564,142,326,150,0,19,35,43,36,36,0,19,54,51,113,57,86,45,27,33
16000US1751206,"Mount Zion, IL",6092,484,6019,492,5621,540,162,152,0,17,10,18,0,17,34,51,192,249,0,17,192,249,73,61,39,62,0,17,0,17,0,17,0,17,0,17,34,48,34,48,0,17
16000US1751232,"Moweaqua, IL",1970,315,1941,313,1897,305,0,12,17,24,1,2,0,12,0,12,26,30,0,12,26,30,29,22,3,5,0,12,0,12,0,12,0,12,20,22,6,10,6,10,0,12
16000US1751271,"Muddy, IL",36,28,36,28,36,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1751284,"Mulberry Grove, IL",762,212,738,212,736,212,0,12,1,5,0,12,0,12,0,12,1,2,0,12,1,2,24,37,24,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US1751310,"Mulkeytown, IL",167,125,167,125,167,125,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
