STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
IL|17|54924|02628556|Oak Run CDP|CENSUS DESIGNATED PLACE|U1|S|Knox County
IL|17|55002|02399547|Oakwood village|INCORPORATED PLACE|C1|A|Vermilion County
IL|17|55041|02399549|Oakwood Hills village|INCORPORATED PLACE|C1|A|McHenry County
IL|17|55106|02399553|Oblong village|INCORPORATED PLACE|C1|A|Crawford County
IL|17|55132|02399554|Oconee village|INCORPORATED PLACE|C1|A|Shelby County
IL|17|55171|02399558|Odell village|INCORPORATED PLACE|C1|A|Livingston County
IL|17|55210|02399560|Odin village|INCORPORATED PLACE|C1|A|Marion County
IL|17|55249|02395302|O'Fallon city|INCORPORATED PLACE|C1|A|St. Clair County
IL|17|55275|02399561|Ogden village|INCORPORATED PLACE|C1|A|Champaign County
IL|17|55353|02395310|Oglesby city|INCORPORATED PLACE|C1|A|LaSalle County
IL|17|55379|02399562|Ohio village|INCORPORATED PLACE|C1|A|Bureau County
IL|17|55418|02399565|Ohlman village|INCORPORATED PLACE|C1|A|Montgomery County
IL|17|55470|02399566|Okawville village|INCORPORATED PLACE|C1|A|Washington County
IL|17|55639|02399567|Old Mill Creek village|INCORPORATED PLACE|C1|A|Lake County
IL|17|55717|02399568|Old Ripley village|INCORPORATED PLACE|C1|A|Bond County
IL|17|55756|02399569|Old Shawneetown village|INCORPORATED PLACE|C1|A|Gallatin County
IL|17|55847|02583440|Olive Branch CDP|CENSUS DESIGNATED PLACE|U1|S|Alexander County
IL|17|55886|02628557|Olivet CDP|CENSUS DESIGNATED PLACE|U1|S|Vermilion County
IL|17|55899|02399571|Olmsted village|INCORPORATED PLACE|C1|A|Pulaski County
IL|17|55912|02396060|Olney city|INCORPORATED PLACE|C1|A|Richland County
IL|17|55938|02399572|Olympia Fields village|INCORPORATED PLACE|C1|A|Cook County
IL|17|56003|02399573|Omaha village|INCORPORATED PLACE|C1|A|Gallatin County
IL|17|56081|02399574|Onarga village|INCORPORATED PLACE|C1|A|Iroquois County
IL|17|56159|02396067|Oneida city|INCORPORATED PLACE|C1|A|Knox County
IL|17|56198|02628558|Opdyke CDP|CENSUS DESIGNATED PLACE|U1|S|Jefferson County
IL|17|56211|02806536|Ophiem CDP|CENSUS DESIGNATED PLACE|U1|S|Henry County
IL|17|56237|02399579|Oquawka village|INCORPORATED PLACE|C1|A|Henderson County
IL|17|56341|02399580|Orangeville village|INCORPORATED PLACE|C1|A|Stephenson County
IL|17|56471|02399582|Oreana village|INCORPORATED PLACE|C1|A|Macon County
IL|17|56484|02396075|Oregon city|INCORPORATED PLACE|C1|A|Ogle County
IL|17|56536|02396077|Orient city|INCORPORATED PLACE|C1|A|Franklin County
IL|17|56601|02399584|Orion village|INCORPORATED PLACE|C1|A|Henry County
IL|17|56627|02399585|Orland Hills village|INCORPORATED PLACE|C1|A|Cook County
IL|17|56640|02399586|Orland Park village|INCORPORATED PLACE|C1|A|Cook County~~~Will County
IL|17|56796|02806538|Osco CDP|CENSUS DESIGNATED PLACE|U1|S|Henry County
IL|17|56887|02399593|Oswego village|INCORPORATED PLACE|C1|A|Kendall County~~~Will County
IL|17|56926|02396106|Ottawa city|INCORPORATED PLACE|C1|A|LaSalle County
IL|17|56978|02396842|Otterville town|INCORPORATED PLACE|C1|A|Jersey County
IL|17|57043|02399602|Owaneco village|INCORPORATED PLACE|C1|A|Christian County
IL|17|57121|02804099|Oxville CDP|CENSUS DESIGNATED PLACE|U1|S|Scott County
IL|17|57160|02583441|Paderborn CDP|CENSUS DESIGNATED PLACE|U1|S|St. Clair County
IL|17|57225|02399608|Palatine village|INCORPORATED PLACE|C1|A|Cook County
IL|17|57277|02399610|Palestine village|INCORPORATED PLACE|C1|A|Crawford County
IL|17|57303|02399612|Palmer village|INCORPORATED PLACE|C1|A|Christian County
IL|17|57329|02399614|Palmyra village|INCORPORATED PLACE|C1|A|Macoupin County
IL|17|57342|02804089|Paloma CDP|CENSUS DESIGNATED PLACE|U1|S|Adams County
IL|17|57381|02396133|Palos Heights city|INCORPORATED PLACE|C1|A|Cook County
IL|17|57394|02396134|Palos Hills city|INCORPORATED PLACE|C1|A|Cook County
